nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Ffatigue,smax,f,E
1626,0.22805042029886224,1.557420109950948,1.3785955996964399,2.0628115787308587,1.4672105182331399,-0.1499063377991721,1.7371452881350489,-0.9208498177408861,-0.7308291942394904,1.2987302303542962,-1.4196319874511973
1268,0.16151991891269463,-0.6764276484550528,-0.7326834237363443,-0.8070029553300807,-0.7498637352845636,6.670832032063165,-0.4022862772523271,0.8934396285527454,0.96862098169105,-0.4079970942721107,-0.9234186633956789
3051,0.2416029298404898,-0.6764276484550528,-0.8509150490485804,-0.4215054806054765,-0.8565019077068792,-0.1499063377991721,-0.4022862772523271,0.7130738157468316,0.8067341611800701,2.0879312112905675,0.8877154260206025
1369,-0.09474571605624751,-0.6764276484550528,-0.6904578432676888,0.9491522073042309,-0.6592212887255955,-0.1499063377991721,-0.6400008956287022,0.36993885479899596,0.3701914165166194,1.0420795048465656,0.773238923074222
2244,0.0654203057993411,-0.6764276484550528,-0.8424699329548491,1.2918166292816502,-0.8081814858280174,-0.1499063377991721,-0.6400008956287022,0.3717718407014951,0.40260682687510474,1.0420795048465656,0.7759115262558497
1266,0.16151991891269463,-0.6764276484550528,-0.7157931915488821,-0.5500046388470163,-0.7258701464895426,6.670832032063165,-0.4022862772523271,0.6485527119788626,0.6901223856533597,0.4902804450049457,-0.8833296156712651
1661,-0.12431482778343342,-0.6764276484550528,-0.7917992363924622,-1.4923317992849345,-0.8335080517783175,-0.1499063377991721,-0.6400008956287022,0.6280232698708723,0.7011557999772572,-0.491408580062123,0.7897199760275916
1269,0.16151991891269463,-0.6764276484550528,-0.7411285398300756,-0.5071715860998313,-0.7495304909957442,6.670832032063165,-0.4022862772523271,1.018082669922686,1.1062342906894553,-0.664647819779841,-0.9234186633956789
955,-0.3460831657373255,-0.6764276484550528,-0.6651224949864952,0.5208216798324417,-0.6468912500392651,-0.1499063377991721,-0.6400008956287022,0.3717718407014951,0.36962072267227986,0.8880890695419278,0.6119918644493586
1163,-0.13170710571522923,-0.6764276484550528,-0.6566773788927642,-1.3209995882962249,-0.6908794961634704,-0.1499063377991721,-0.6400008956287022,0.6599172245743572,0.6916061896486424,-0.6004851384029084,0.6400541978564478
906,-0.19577351445746521,-0.6764276484550528,-0.6482322627990329,-0.5071715860998313,-0.654889112970939,-0.1499063377991721,-0.6400008956287022,0.48175099485144246,0.48931424495842396,0.1245531611564298,0.5621032717256438
1773,0.5890399926349205,1.557420109950948,1.3870407157901714,0.6921538908211513,1.4022278819132907,-0.1499063377991721,-0.4022862772523271,0.027170491031660075,-0.11501248994084869,-1.8709062296661736,-1.3563803788193447
