nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,R-value1,Fmax,smax,Ncycles,f,E,Temp.
897,50.66,0.0,3.78,24.75,93.49,145.0,-1.0,25.0,267.42,3.3483048630481607,2.5,39.025000000000006,43.6
898,50.66,0.0,3.79,24.74,93.86,145.0,-1.0,25.0,266.35,4.215796132589833,2.5,38.05,32.6
899,50.66,0.0,3.83,24.79,95.04,145.0,-1.0,17.0,178.87,5.953092036768397,4.32,39.225,30.443137254901963
900,50.66,0.0,3.79,24.62,93.32,145.0,-1.0,25.0,267.89,4.656835780078811,2.0,39.7,32.5
901,50.29,0.0,3.77,24.61,92.85,145.0,-1.0,17.5,188.48,5.609812035461795,4.1,38.675,45.0
902,50.29,0.0,3.81,24.66,93.95,145.0,-1.0,20.0,212.87,5.497554361304037,3.13,38.6,31.0
903,50.29,0.0,3.81,24.76,94.25,145.0,-1.0,17.0,180.37,5.836186715107154,4.32,39.05,30.443137254901963
904,50.29,0.0,3.76,24.7,92.8,145.0,-1.0,20.0,215.51,5.439094161184332,3.13,39.1,30.443137254901963
905,50.29,0.0,3.81,24.91,94.92,145.0,-1.0,20.0,210.7,5.42838913831827,3.13,37.95,30.443137254901963
906,50.29,0.0,3.87,24.96,96.69,145.0,-1.0,20.0,206.84,5.311416887321614,3.13,37.175,29.1
907,50.29,0.0,3.81,24.91,94.92,145.0,-1.0,25.0,263.38,4.6652337918846865,2.0,38.95,30.443137254901963
908,50.29,0.0,3.83,24.71,94.56,145.0,-1.0,20.0,211.51,5.189158921951052,3.13,37.2,30.443137254901963
909,50.29,0.0,3.82,24.79,94.63,145.0,-1.0,17.5,184.93,5.728460921835572,4.1,38.525000000000006,40.7
912,50.29,0.0,3.92,24.81,97.24,145.0,-1.0,25.0,257.09,4.64423173331632,2.0,37.849999999999994,30.443137254901963
914,50.29,0.0,3.77,24.6,92.73,145.0,1.0,76.43,824.23,0.0,0.0,38.57,30.443137254901963
915,50.29,0.0,3.8,24.72,94.01,145.0,1.0,71.86,764.42,0.0,0.0,39.1,30.443137254901963
916,50.29,0.0,3.73,24.92,93.05,145.0,1.0,65.5,703.94,0.0,0.0,38.75,30.443137254901963
917,50.29,0.0,3.84,24.75,95.14,145.0,1.0,73.65,774.16,0.0,0.0,38.05,30.443137254901963
918,50.29,0.0,3.75,24.86,93.15,145.0,1.0,72.18,774.84,0.0,0.0,36.74,30.443137254901963
919,51.47,0.0,3.67,24.87,91.2,145.0,1.0,72.8,798.23,0.0,0.0,39.2,30.443137254901963
920,51.47,0.0,3.66,24.72,90.38,145.0,1.0,73.99,818.65,0.0,0.0,39.73,30.443137254901963
921,51.47,0.0,3.72,24.64,91.65,145.0,1.0,72.7,793.25,0.0,0.0,38.72,30.443137254901963
922,51.47,0.0,3.74,24.72,92.55,145.0,1.0,71.94,777.33,0.0,0.0,39.0,30.443137254901963
923,51.47,0.0,3.73,24.77,92.47,145.0,1.0,72.36,782.48,0.0,0.0,39.59,30.443137254901963
924,51.47,0.0,3.68,24.72,90.89,145.0,1.0,71.58,787.57,0.0,0.0,39.38,30.443137254901963
925,51.47,0.0,3.78,24.6,92.91,145.0,1.0,71.46,769.16,0.0,0.0,38.02,30.443137254901963
926,51.47,0.0,3.72,24.56,91.43,145.0,1.0,71.44,781.34,0.0,0.0,40.18,30.443137254901963
927,51.47,0.0,3.69,24.86,91.64,145.0,1.0,73.38,800.76,0.0,0.0,41.38,30.443137254901963
928,51.47,0.0,3.74,24.82,92.76,145.0,1.0,74.37,801.78,0.0,0.0,39.31,30.443137254901963
929,51.47,0.0,3.72,24.82,92.32,145.0,1.0,72.46,784.9,0.0,0.0,39.8,30.443137254901963
930,51.47,0.0,3.75,24.52,92.03,145.0,1.0,70.45,765.5,0.0,0.0,39.03,30.443137254901963
931,51.47,0.0,3.74,24.56,91.85,145.0,1.0,73.65,801.81,0.0,0.0,40.99,30.443137254901963
932,51.47,0.0,3.75,24.64,92.48,145.0,1.0,68.14,736.79,0.0,0.0,37.85,30.443137254901963
933,51.47,0.0,3.82,24.84,94.82,145.0,1.0,71.37,752.7,0.0,0.0,37.26,30.443137254901963
934,51.47,0.0,3.69,24.88,91.9,145.0,1.0,73.81,803.13,0.0,0.0,38.9,30.443137254901963
935,51.47,0.0,3.8,24.77,94.03,145.0,1.0,72.63,772.41,0.0,0.0,40.11,30.443137254901963
936,49.49,0.0,3.71,24.78,91.95,145.0,1.0,76.87,836.03,0.0,0.0,39.7,30.443137254901963
937,49.49,0.0,3.76,25.03,94.13,145.0,1.0,68.84,731.37,0.0,0.0,37.74,30.443137254901963
938,49.49,0.0,3.77,25.0,94.18,145.0,1.0,75.06,796.99,0.0,0.0,39.28,30.443137254901963
939,49.49,0.0,3.71,24.91,92.4,145.0,1.0,76.27,825.4,0.0,0.0,40.08,30.443137254901963
940,49.49,0.0,3.82,24.87,95.02,145.0,1.0,66.4,698.83,0.0,0.0,38.94,30.443137254901963
