nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,R-value1,Fmax,smax,Ncycles,f,E,Temp.,stens,ftens,scomp,fcomp
1208,50.82,0.0,3.73,24.8,92.45,-1.0,17.0,183.89,6.176683522229599,4.32,39.605000000000004,44.15,782.48,72.36,-465.34,-42.7
1209,50.82,0.0,3.68,24.75,91.13,-1.0,20.0,219.47,5.680830272795469,2.25,40.265,44.15,794.02,72.57,-474.04,-43.32
1210,50.82,0.0,3.66,24.76,90.57,-1.0,28.0,309.15,4.618894929662588,0.9,40.345,44.15,818.65,73.99,-465.34,-42.7
1212,50.82,0.0,3.73,24.8,92.57,-1.0,17.0,183.65,6.026698697982396,3.0,39.245000000000005,44.15,782.48,72.36,-465.34,-42.7
1213,50.82,0.0,3.66,25.07,91.65,-1.0,20.0,218.22,5.626219199767275,2.25,38.8,44.15,798.23,72.8,-457.32,-42.3
1214,50.82,0.0,3.72,24.78,92.22,-1.0,17.0,184.35,6.116287217345921,3.0,38.775,44.15,794.02,72.57,-465.34,-42.7
1215,50.82,0.0,3.74,24.75,92.58,-1.0,25.0,270.04,4.793434145077811,1.2,39.260000000000005,44.15,777.33,71.94,-474.04,-43.32
1216,50.82,0.0,3.65,24.82,90.59,-1.0,25.0,275.96,4.884846321198446,1.2,39.95,44.15,818.65,73.99,-465.34,-42.7
1295,56.66,90.0,6.36,24.97,158.76,10.0,-17.89,-112.71,5.549743630216195,3.56,13.74,35.6,57.5,9.0,-164.43,-26.08
1297,56.66,90.0,6.3,25.12,158.28,10.0,-17.8,-112.45,5.595489608153664,3.2,14.15,29.984285714285715,58.34,9.23,-164.05,-25.88
1299,56.66,90.0,6.33,25.08,158.76,10.0,-19.01,-119.74,4.892745556320075,2.45,14.54,29.984285714285715,58.34,9.23,-167.88,-26.68
1302,56.66,90.0,6.28,24.97,156.91,-1.0,2.35,15.0,5.653277170584984,3.5,15.07,24.2,57.5,9.0,-96.63,-15.13
1303,56.66,90.0,6.37,25.13,160.13,-1.0,5.12,32.0,4.189237580166831,1.8,14.58,26.7,58.34,9.23,-163.39,-26.09
