nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,Lnominal,Fmax,smax,E
1863,54.15,0.0,3.752,10.253,38.47,126.0,-24.05,-625.11,38.08
1864,54.15,0.0,3.727,10.184,37.96,126.0,-23.07,-607.88,39.34
1865,54.15,0.0,3.764,10.174,38.29,126.0,-24.9,-650.28,39.19
1866,54.15,0.0,3.756,10.16,38.16,126.0,-24.66,-646.14,38.1
1867,54.15,0.0,3.745,10.104,37.84,126.0,-22.95,-606.51,40.25
1868,54.15,0.0,3.731,10.171,37.95,126.0,-16.6,-437.51,38.31
1869,54.15,0.0,3.722,9.559,35.58,126.0,-20.51,-576.4,39.43
1870,51.45,90.0,3.721,10.019,37.28,126.0,-5.86,-157.19,15.35
1871,51.45,90.0,3.736,10.048,37.54,126.0,-5.74,-152.84,13.89
1872,51.45,90.0,3.788,10.067,38.13,126.0,-6.1,-160.03,14.27
1873,51.45,90.0,3.708,9.998,37.07,126.0,-5.49,-148.16,14.18
1874,51.45,90.0,3.754,9.998,37.53,126.0,-5.86,-156.13,14.75
1875,51.45,90.0,3.699,10.001,36.99,126.0,-5.62,-151.78,14.72
1876,51.45,90.0,3.701,10.0,37.01,126.0,-5.86,-158.34,14.27
2210,51.94,0.0,3.82,10.32,39.96,136.0,-23.5,-596.4,37.2
2212,51.94,0.0,3.88,9.79,37.95,136.0,-25.5,-671.89,39.95
2219,54.75,90.0,6.32,24.97,157.62,145.0,-23.3,-147.8,15.75
2220,54.75,90.0,6.42,25.03,160.5,145.0,-24.77,-154.18,14.75
2221,55.4,90.0,5.96,25.2,149.47,145.0,-23.0,-153.3,16.95
2222,55.4,90.0,6.06,25.26,152.71,145.0,-22.69,-148.27,16.4
2224,53.62,0.0,3.57,25.24,90.0,145.0,-39.04,-433.35,42.65
2226,52.97,0.0,3.71,25.17,93.03,145.0,-40.87,-438.35,42.05
2227,52.47,0.0,3.77,25.43,95.67,145.0,-35.75,-373.39,39.05
2228,54.75,90.0,6.24,25.07,156.19,145.0,-13.91,-88.98,11.5
2229,54.75,90.0,6.27,24.99,156.44,145.0,-15.13,-96.63,10.75
2230,54.75,90.0,6.3,24.98,157.12,145.0,-14.52,-92.32,11.15
2231,54.75,90.0,6.38,25.02,159.56,145.0,-15.01,-94.01,11.0
2232,54.75,90.0,6.11,25.05,152.93,145.0,9.39,61.38,10.0
2233,54.75,90.0,6.17,25.11,154.81,145.0,7.93,51.18,10.6
2234,54.75,90.0,6.19,24.94,154.13,145.0,8.5,55.1,9.3
2236,54.75,90.0,6.26,24.95,155.94,145.0,9.15,58.58,10.6
2239,51.61,30.0,3.82,24.78,94.58,145.0,6.95,73.46,8.4
2240,51.61,30.0,3.82,24.86,94.77,145.0,6.95,73.24,9.05
2241,51.61,30.0,3.83,24.99,95.56,145.0,6.47,67.56,7.9
2242,51.61,30.0,3.85,24.55,94.36,145.0,6.83,72.38,8.5
2401,51.94,0.0,3.92,10.01,39.24,136.0,-24.4,-621.83,36.1
2416,52.97,0.0,3.6,25.21,90.56,145.0,-38.31,-422.69,44.25
2441,52.38,0.0,3.69,25.6,94.26,145.0,109.1,1156.5,49.3
2575,52.38,0.0,3.73,25.6,95.36,145.0,84.18,882.94,39.8
2577,53.62,0.0,3.7,25.23,93.04,145.0,99.31,1065.26,39.55
2892,52.89,0.0,3.72,25.25,93.85,145.0,87.77,935.27,38.38
2893,52.89,0.0,3.74,25.19,94.22,145.0,84.58,897.62,41.51
2894,52.89,0.0,3.67,25.22,92.55,145.0,81.74,883.23,35.18
2895,52.38,0.0,3.78,25.21,95.38,145.0,87.79,920.44,37.71
2910,52.89,0.0,3.68,25.2,92.72,145.0,87.26,940.99,37.7
