nr,smax,Ncycles,smean
2118,448.02,5.300969190180031,0.0
2119,393.99,3.398287305357401,0.0
2120,563.51,3.0008677215312267,0.0
2121,413.01,5.300993079064042,0.0
2122,391.06,4.0,0.0
2123,369.57,4.39776625612645,0.0
2124,440.48,5.300953987478738,0.0
2125,437.33,4.000130268805227,0.0
2126,569.12,3.0013009330204183,0.0
2127,488.45,3.397940008672037,0.0
2128,401.8,5.300960502987314,0.0
2129,-459.71,4.601983983142719,-2528.405
2135,-432.13,0.0,-216.065
2136,-421.64,0.0,-210.82
2137,574.7,0.0,287.35
2138,466.95,0.0,233.475
2139,495.89,0.0,247.945
2140,462.24,0.0,231.12
2141,485.33,0.0,242.665
2142,-335.23,4.439506376888728,-1843.765
2143,-275.08,6.068555040694015,-1512.9399999999998
2144,317.73,2.938519725176492,95.319
2145,-326.98,5.185034756724982,-1798.39
2146,-271.56,6.155222134116443,-1493.58
2147,-270.84,6.1419468109259,-1489.62
2148,-266.92,6.324799595776807,-1468.0600000000002
2149,-268.24,4.882302495818776,-1475.3200000000002
2150,-293.35,4.996607976784119,-1613.4250000000002
2151,-315.82,3.6214878645806303,-1737.01
2152,-293.95,5.337932234876929,-1616.725
2153,-315.03,3.723291446477584,-1732.665
2154,-288.24,4.881555829793312,-1585.3200000000002
2155,-286.4,4.316389751073196,-1575.1999999999998
2156,239.5,3.390758528738717,0.0
2157,137.76,6.062704171113168,0.0
2158,283.57,2.558708570533166,0.0
2159,186.58,4.224481265303632,0.0
2160,182.79,4.71218654396046,0.0
2161,233.35,3.1789769472931693,0.0
2162,132.88,5.912473417424488,0.0
2163,180.4,3.8069935136821074,0.0
2164,180.23,5.052347599224664,0.0
2165,230.19,3.0989896394011773,0.0
2166,268.83,2.6127838567197355,0.0
2167,179.11,4.614053105987219,0.0
2168,270.21,3.5921767573958667,0.0
2169,226.7,3.830203598925704,0.0
2170,226.21,2.973589623427257,0.0
2171,243.91,3.8374621714859942,73.173
2172,170.84,5.002938893242647,51.252
2173,171.23,4.878562006091662,51.36899999999999
2174,306.53,3.3188977146274867,91.959
2175,233.99,4.292100938480419,70.197
2176,164.4,5.7544721837301305,49.32
2177,232.75,4.361746717975897,69.825
2178,230.78,4.503477442436995,69.234
2179,187.04,5.696915281411643,56.112
2180,229.65,4.421965688225113,68.895
2181,297.94,3.7204074008031087,89.38199999999999
2182,161.04,6.1272282630504025,48.312
2183,227.14,4.786353846576918,68.142
2184,295.21,3.5471591213274176,88.56299999999999
2185,346.35,3.330210784571528,190.49250000000004
2186,263.44,4.9932598314367365,144.89200000000002
2255,189.79,4.308308242998225,0.0
2256,187.21,4.476831628512261,0.0
2257,-273.97,4.302092715843356,-1506.835
2258,186.46,4.510692430840357,0.0
2259,137.84,5.534725239681553,0.0
