nr,taverage,waverage,area,Lnominal,R-value1,smax,Ncycles,smean
2612,6.35,24.81,157.54,150.0,-1.0,139.39,5.804342555557652,0.0
2613,6.4,24.7,158.08,150.0,-1.0,189.65,3.6223176608338443,0.0
2614,6.39,24.89,158.92,150.0,0.5,204.86,6.332622238690065,153.645
2615,6.51,24.67,160.35,150.0,-1.0,186.44,4.605272715323677,0.0
2616,6.36,25.49,161.99,150.0,0.1,278.06,4.158754386632288,152.93300000000002
2622,6.69,25.34,169.32,150.0,-1.0,180.72,3.5169318088680126,0.0
2623,6.74,25.25,169.86,150.0,-1.0,132.01,6.161994431855405,0.0
2624,6.74,25.17,169.45,150.0,-1.0,179.57,3.296665190261531,0.0
2625,6.75,25.1,169.22,150.0,10.0,-288.62,5.109183554169652,-158.741
2626,6.47,25.08,162.27,150.0,0.1,273.38,4.193597610298094,150.359
2627,6.33,25.1,158.69,150.0,0.5,351.71,4.057285644418215,263.78249999999997
2628,6.45,24.99,161.19,150.0,0.5,271.74,4.96900099093947,203.805
2629,6.4,25.07,160.45,150.0,-2.5,-238.08,5.889618201838019,-71.424
2734,6.6,25.1,165.66,150.0,-0.4,95.44,7.595429055305109,28.631999999999998
2779,6.82,24.72,168.45,150.0,10.0,-309.15,5.0067355207188475,-170.0325
2784,6.78,25.09,170.06,150.0,0.0,574.99,0.0,287.495
2788,6.84,25.05,171.27,150.0,0.0,-476.36,0.0,-238.18
2793,6.77,24.74,167.34,150.0,0.0,-427.13,0.0,-213.565
2797,6.78,25.04,169.5,150.0,0.0,630.26,0.0,315.13
2802,6.72,24.82,166.37,150.0,0.0,-507.28,0.0,-253.64
2805,6.84,25.02,171.01,150.0,10.0,-307.97,5.42141635011384,-169.38350000000003
2813,6.78,24.91,168.48,150.0,10.0,-310.56,5.18782518424518,-170.80800000000002
2819,6.66,25.28,167.84,150.0,-1.0,274.31,4.427096432549316,0.0
2846,6.73,25.29,170.68,150.0,2.0,-411.58,5.6276300403193495,-308.685
2847,6.41,24.92,159.67,150.0,-1.0,189.29,4.352182518111363,0.0
2869,6.65,25.1,166.92,150.0,-1.0,103.77,5.775708726500088,0.0
2889,6.36,24.98,158.85,150.0,0.0,598.78,0.0,299.39
2890,6.45,25.19,162.39,150.0,0.0,595.73,0.0,297.865
2891,6.66,25.22,168.03,150.0,0.0,498.85,0.0,249.425
3008,6.45,25.2,162.54,150.0,0.5,274.39,4.899273187317604,205.7925
3013,6.5,25.1,163.15,150.0,0.1,343.06,3.485437481076301,188.68300000000002
3057,6.17,25.11,154.93,150.0,0.1,212.16,5.141377646306111,116.688
3058,6.82,24.93,169.87,150.0,0.1,191.95,5.980762155232885,105.5725
3059,6.77,25.06,169.54,150.0,0.1,193.1,5.7807557066191215,106.20500000000001
3060,6.75,24.85,167.45,150.0,0.1,194.03,6.060019811962086,106.71650000000001
3061,6.8,24.84,168.69,150.0,0.1,192.48,5.8275702170114085,105.864
3062,6.8,24.88,169.2,150.0,0.1,192.36,5.731339719776532,105.79800000000002
3063,6.76,25.5,172.32,150.0,0.1,193.94,6.203226045232798,106.667
3148,6.7,24.87,166.48,150.0,2.0,-390.44,5.4641928620343245,-292.83
3159,6.5,25.1,163.15,150.0,0.5,352.31,4.681087397502494,264.2325
3160,6.45,25.25,162.86,150.0,0.5,355.02,3.9414120403735495,266.265
3161,6.45,25.25,162.86,150.0,0.5,355.02,4.035029282202368,266.265
3162,6.5,25.0,162.5,150.0,0.5,272.31,5.930597074421362,204.23250000000002
3163,6.45,25.35,163.51,150.0,0.5,274.42,4.916885396562972,205.815
3164,6.4,25.45,162.88,150.0,0.5,276.58,4.862667950228588,207.435
3165,6.6,24.9,164.34,150.0,0.5,213.58,7.123427784830979,160.185
3215,6.61,25.41,167.83,150.0,0.0,-451.4,0.0,-225.7
3216,6.63,25.38,168.07,150.0,0.0,-466.77,0.0,-233.385
3217,6.76,25.2,170.22,150.0,0.0,-430.74,0.0,-215.37
3218,6.77,25.16,170.06,150.0,0.0,-416.08,0.0,-208.04
3232,6.81,25.29,172.1,150.0,0.0,-423.01,0.0,-211.505
3670,6.45,25.2,162.54,150.0,-2.5,-150.3629876,6.5215039403903985,-45.108896279999996
3671,6.37,25.3,161.16,150.0,-2.5,-274.9982936,3.4401216031878037,-82.49948808
3672,6.53,25.2,164.56,150.0,-2.5,-249.9453074,4.969154884451621,-74.98359221999999
3673,6.43,25.3,162.68,150.0,-2.5,-299.9772558,3.484299839346786,-89.99317674000001
3708,6.68,25.29,168.94,150.0,0.0,649.9456603,0.0,324.97283015
3709,6.64,25.32,168.12,150.0,0.0,660.81863,0.0,330.409315
3710,6.6,25.31,167.05,150.0,0.0,674.0658262,0.0,337.0329131
3711,6.63,25.28,167.61,150.0,0.0,649.1398896,0.0,324.5699448
3712,6.66,25.27,168.3,150.0,0.0,632.8053419,0.0,316.40267095
3735,6.7,25.26,169.24,150.0,-1.0,180.5698349,5.229817458192203,0.0
3736,6.65,25.24,167.85,150.0,-1.0,233.0707911,4.308671106715418,0.0
3737,6.64,25.21,167.39,150.0,-1.0,233.4606176,4.4187154968655955,0.0
3738,6.75,25.35,171.11,150.0,-1.0,179.2621813,5.439943434971297,0.0
3739,6.64,25.33,168.19,150.0,0.1,335.8677505,4.038620161949702,184.727262775
3740,6.64,25.15,167.0,150.0,0.1,335.8463676,3.9651075858490556,184.71550218000002
3741,6.64,25.15,167.0,150.0,0.1,266.5932118,4.923129988403675,146.62626649
3742,6.64,25.35,168.32,150.0,0.1,266.5692355,5.025428761407241,146.61307952500002
